wetlands,livestock,coal,ong,landfills,wastewater,other_anth,other_bio
0.0,0.0,0.0,0.0,0.0,0.0,0.04677029054907235,6.528357022677761
0.0,0.0,0.0,0.0,0.0,0.0,0.10717519854090339,6.528357022677761
34.429391883709975,0.0,0.0,0.0,0.0,0.0,0.03681231911197694,6.528357022677761
48.68532677592752,0.0,0.0,0.0,0.0,0.0,0.03357716796705317,6.528357022677761
44.18484437946846,0.0,0.0,0.0,0.0,0.0,0.031418473289114734,6.528357022677761
22.09242218973423,0.0,0.0,0.0,0.0,0.0,0.007576606392687472,6.528357022677761
0.0,0.0,0.0,0.0,0.0,0.0,0.028614164347297,6.528357022677761
0.0,0.0,0.0,0.0,0.0,0.0,0.08100573958388568,6.528357022677761
0.0,0.0,0.0,0.007092806655019135,0.0,0.0,0.4371943009892578,4.912573911702444
0.0,0.0,0.0,0.015607033322912234,0.0,0.0,0.882917458414808,4.912573911702444
36.662360101881504,0.0,0.0,0.0,0.0,0.0,0.023564737482974992,4.912573911702444
73.32472020376301,0.0,0.0,0.0,0.0,0.0,0.0258127650917473,4.912573911702444
76.31275890330159,0.0,0.0,0.0,0.0,0.0,0.03704061497428555,4.912573911702444
71.64036988145259,0.0,0.0,0.0,0.0,0.0,0.03478982969992773,4.912573911702444
59.96239723010124,0.0,0.0,0.0,0.0,0.0,0.029740828470898015,4.912573911702444
113.16656695561741,0.0,0.0,0.0,0.0,0.0,0.04208111794633299,4.912573911702444
138.67125476857797,0.0,0.0,0.0,0.0,0.0,0.028051767268109946,4.912573911702444
163.01670662326822,0.0,0.0,0.0,0.0,0.0,0.019355147732454482,4.912573911702444
143.25836950664404,0.0,0.0,0.0,0.0,0.0,0.047981142971185456,2.456286955851222
123.49351825213985,0.0,0.0,0.0,0.0,0.0,0.017954291379295138,0.0
244.94936454841948,0.0,0.0,0.0,0.0,0.0,0.04153245042701259,0.0
303.5162645001343,0.0,0.0,0.0,0.0,0.0,0.07885325506731473,0.0
408.6984924163626,0.0,0.0,0.0,0.0,0.0,0.05920496527598174,0.0
326.80875470966447,0.0,0.0,0.0,0.0,0.0,0.03142925495510484,0.0
281.57810739430124,0.0,0.0,0.0,0.0,0.0,0.03562305668483772,0.0
190.31100857694076,0.0,0.0,0.0,0.0,0.0,0.017111743465977786,0.0
211.45021858334258,0.0,0.0,0.0,0.0,0.0,0.054704065319199906,0.0
232.60104891757305,0.0,0.0,0.0,0.0,0.0,0.076574598061813,0.0
137.31954959501613,0.0,0.0,0.0,0.0,0.0,0.04152076465301574,0.0
156.1194009899387,0.0,0.0,0.0,0.0,0.0,0.07350314977249793,0.0
224.69686174962683,0.0,0.0,0.0,0.0,0.0,0.06003617376279505,0.0
242.43028016519705,0.0,0.0,0.0,0.0,0.0,0.03141947634967049,0.0
225.021875073857,0.0,0.0,0.0,0.0,0.0,0.019073684422186137,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.03928811887282443,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.024961638742469035,0.0
0.0,0.0002938242285070675,0.0,0.0,0.0,0.0,0.05435097046046417,0.0
0.0,2.764357800090729e-05,0.0,0.0,0.0,6.007966418517971e-05,0.03862122947615082,8.928953171120915
133.8488364869646,0.0,0.0,0.0,0.0,0.0,9.792695767597307e-05,8.928953171120915
267.6976729739292,0.0,0.0,0.0,0.0,0.0,0.00018401526448184817,8.928953171120915
313.426491424437,0.0,0.0,0.0,0.0,0.0,0.0002479540932929811,8.928953171120915
307.23923232786,0.0,0.0,0.0,0.0,0.0,0.0001683219761128376,270.18447236620733
280.9513679933923,0.0,0.0,0.0,0.0,0.0,0.00015136326456293992,1579.862921664193
254.06040221171293,0.0,0.0,0.0,0.0,0.0,9.91633852682618e-05,690.2325936508746
251.90215073501255,0.0,0.0,0.0,0.0,0.0,9.396201907191045e-05,8.928953171120915
336.21776856881064,0.0,0.0,0.0,0.0,0.0,5.742633872513448e-05,8.928953171120915
418.99365534854405,0.0,0.0,0.0,0.0,0.0,0.0002649086911620223,18.072151250640747
501.74001503189294,0.0,0.0,0.0,0.0,0.0,0.00025447472272191034,27.216386502411325
390.149258555783,0.0,0.0,0.0,0.0,0.0,0.00012782809023657139,27.216386502411325
417.2010535362069,0.0,0.0,0.0,0.0,0.0,7.829024147892012e-05,27.216386502411325
509.2349920421161,0.0,0.0,0.0,0.0,0.0,0.00015527266024079858,27.216386502411325
351.2790173684981,0.0,0.0,0.0,0.0,0.0,7.044851121991358e-05,27.216386502411325
299.51367230239094,0.0,0.0,0.0,0.0,0.0,7.046553819795435e-05,27.216386502411325
442.80544562153653,0.0,0.0,0.0,0.0,0.0,0.00035104717459341286,27.216386502411325
413.8974586154042,0.0,0.0,0.0,0.0,0.0,0.00016573219696197752,27.216386502411325
384.96948273707534,0.0,0.0,0.0,0.0,0.0,8.483332626447092e-05,27.216386502411325
288.42028919789925,0.0,0.0,0.0,0.0,0.0,0.00024007906915656633,27.216386502411325
273.1946348037302,0.0,0.0,0.0,0.0,0.0,9.395929041898363e-05,27.216386502411325
262.7000660135575,0.0,0.0,0.0,0.0,0.0,6.787977523756313e-05,27.216386502411325
374.6954095808266,0.0,0.0,0.0,0.0,0.0,9.524513231390945e-05,27.216386502411325
423.2000296699941,0.0,0.0,0.0,0.0,0.005422169009743286,0.00019704357466536886,27.216386502411325
427.7410900532268,0.0,0.0,0.0,0.0,0.05421125335169182,0.0,27.216386502411325
342.6389107884767,0.0,0.0,0.0,0.0,0.05421113788744839,0.0,20.134965518330024
257.5452623059061,0.0,0.0,0.0,0.0,0.05421125335169182,0.0,13.055163199556826
604.859206648609,0.0,0.0,0.0,0.0,0.05421116234285115,0.0,13.055163199556826
620.5034399465583,0.0,0.0,0.0,0.0,0.05421113788744839,0.0,13.055163199556826
566.9755625723395,0.0,0.0,0.0,0.0,0.0542112797704029,0.0,13.055163199556826
480.4376783085547,0.0,0.0,0.0,0.0,0.05421113788744839,0.0,13.055163199556826
449.27668354950725,0.0,0.0,0.0,0.0,0.05421116894752892,0.0,13.055163199556826
502.65941028414636,0.0,0.0,0.0,0.0,0.05421125335169182,0.0,13.055163199556826
1103.724929071869,0.0,0.0,0.0,0.0,0.05421113788744839,0.0,13.055163199556826
1704.7988818262422,0.0,0.0,1.2355910023308354,0.0,0.056405326203247896,0.16450148828665928,13.055163199556826
792.0065137545797,0.0,0.0,8.064121483156972,0.0,0.06852228190173572,1.5214387451705425,13.055163199556826
