,mean,min,max
prior_livestock,9.175160058582165,0.0,0.0
prior_ong,9.421744157079033,0.0,0.0
prior_coal,2.8941541922983247,0.0,0.0
prior_landfills,5.651248312271082,0.0,0.0
prior_wastewater,0.6348535866407199,0.0,0.0
prior_other_anth,0.9354678730946763,0.0,0.0
prior_wetlands,6.628471449864892,0.0,0.0
prior_other_bio,1.1278355280694454,0.0,0.0
prior_sub_livestock,6.019713887071131,1.0870001634356106,0.9841677993896187
prior_sub_ong,8.288444249129906,0.4102172298993967,0.35791041014463687
prior_sub_coal,2.7860255472857305,0.04245028603560641,0.041260559079634884
prior_sub_landfills,4.600025312085162,0.5238946353306755,0.46146775002493445
prior_sub_wastewater,0.5179561347717649,0.06812165796781561,0.05143206098341879
prior_sub_other_anth,0.746358558683784,0.11120115625566085,0.08405190786353167
prior_sub_wetlands,3.683800191635723,1.2160859435038196,1.0627297714261044
prior_sub_other_bio,0.46129894987731135,0.10666767761034257,0.10716531741223123
post_livestock,10.3791645826384,0.34950117889732724,0.3476146411320933
post_ong,10.410589499475103,0.2626547815640148,0.2829707474558738
post_coal,1.5274157431407813,0.33494804975518044,0.37304677159518107
post_landfills,6.892911050145688,0.49506151195403447,0.5800258977333748
post_wastewater,0.6216406865873036,0.1295886367184813,0.08739272250970453
post_other_anth,1.106268266573688,0.0627558524806302,0.06781180455836999
post_wetlands,7.213163850383568,0.236741139237294,0.22317566741875883
post_other_bio,1.1688477229929979,0.012692376210681644,0.014927270805810577
post_sub_livestock,7.223718411127364,1.4286023597517907,1.3317824405217111
post_sub_ong,9.277289591525976,0.6722636519621794,0.6408811576005107
post_sub_coal,1.419287098128187,0.29368749067554534,0.3305964855595749
post_sub_landfills,5.841688049959767,1.0163928474949468,1.041493647758311
post_sub_wastewater,0.5047432347183488,0.07815657573506257,0.03545918708826434
post_sub_other_anth,0.917158952162796,0.17347636885025508,0.15186371242190122
post_sub_wetlands,4.268492592154398,1.4378128148194307,1.1807217514466366
post_sub_other_bio,0.5023111448008633,0.118447011963427,0.114169964707869
