,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
18453,1.0,0.7792137413074904,1.0,1.0,0.9114969544059957,1.0,0.8942698470535855,1.0
18454,1.0,1.0,1.0,1.0,0.621933388855993,1.0,1.0,1.0
18455,1.0,1.0,1.0,1.0,0.5008636362632224,1.0,1.0,1.0
18456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18458,0.686059145291348,0.19909672000668266,0.8006331714033763,0.4403325965186333,0.26424647286854963,0.6195660576294131,0.17522526474176914,0.5461062791168629
18459,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18460,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18461,1.0,1.0,1.0,1.0,1.562769119539965,1.0,1.0,1.0
18462,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18464,1.3900954347198278,1.2639554907463442,1.4901141814436656,1.572773045701954,1.5023784565683513,1.3581187292863381,1.2475835917129778,1.8977579374873592
18465,0.5915286821598595,0.47297677205656896,0.7013550338116676,0.5297899848018197,0.5561259964505325,0.6324511454550725,0.4382222647137457,0.5243333092309257
18466,0.6845250417300752,0.6154149562997535,0.8577661309266258,0.9048485667050237,1.0691255131872524,0.7436162266135122,0.750213359164615,1.1576871900285362
18467,0.9415594427893703,0.6331269573846008,0.9844985973964668,0.6206217189068113,0.16995006803921342,0.9275988497470022,0.5069688764326283,0.5656247163146926
18468,0.7396433487434639,0.4439137912504023,0.8591039396056006,0.6588960672846387,0.47803661125449537,0.7347552236506316,0.47208676327290533,0.6837773838788639
18469,0.3098397589766506,-0.31216025495104205,0.631821621245475,0.31800822227141623,0.2665164799210942,0.5127498017972165,0.1277743949763135,0.9191571743080296
18470,1.6284211513710756,2.4241380800366628,1.4463326376686585,2.050264928639849,2.5403074956651785,1.636665079088767,2.435828722459907,1.968544461036486
18471,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18472,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18473,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
