,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
15181,0.0,0.08952365465938993,0.0,0.07643507740098113,0.1099480737893026,0.0,0.08145221461925035,0.05948042124772792
15182,0.06379269338764532,0.13820900993264226,0.05888735206148852,0.11815057401667521,0.16964465695134753,0.05897821708974057,0.12584912702447745,0.09228585094442913
15183,0.05965017210152999,0.12620518469111297,0.055144479302006645,0.10860066247314727,0.15326895676973168,0.05520017610931487,0.1153702187413163,0.08551625791170094
15184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15188,0.050262685549215924,0.11252354672529151,0.0,0.09574891958257668,0.13879236877457934,0.0,0.10216446726569418,0.07407382873388152
15189,0.0,0.0,0.0,0.0,0.05163106198562685,0.0,0.0,0.0
15190,0.05334021690428921,0.1286176735740011,0.0,0.1072232610577098,0.1639157556255061,0.0,0.1153285105795195,0.08084059485232385
15191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15192,0.0,0.0,0.0,0.0,0.05798878972990617,0.0,0.0,0.0
15193,0.08280581826538594,0.1905579162544361,0.07600433793315603,0.16043817529944177,0.2401097682173792,0.07610158824186895,0.17187627682526013,0.12288138920741225
15194,0.0941184577469867,0.21348302344271997,0.0864521872234812,0.18029540678691952,0.26784303564401785,0.08654500117873702,0.19290404962372854,0.13873933466390861
15195,0.08013361836462686,0.1762390656890439,0.0737209126136621,0.15026490718265514,0.21724659629310256,0.07381030312715124,0.16021552183280768,0.11688810935163187
15196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15198,0.0,0.07277750398481798,0.0,0.06226750886887415,0.08880560839744826,0.0,0.06636151859689308,0.0
15199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15203,0.0,0.0,0.0,0.0,0.050006446469220686,0.0,0.0,0.0
15204,0.23743049583836529,0.5474711300152484,0.21860175699889026,0.4629236940604561,0.6869043406505451,0.21784505724802006,0.49423204557248684,0.35459477466814204
15205,0.0,0.07982838146612589,0.0,0.06911516347727638,0.09626258265976004,0.0,0.07322570302683885,0.054870611091344
15206,0.08185875007030535,0.16166585398018468,0.07618153167821087,0.14155388080107306,0.19199582270850682,0.0761150593255974,0.14927002184705762,0.11414650320762511
15207,0.11673871691135752,0.22426184152864406,0.1089200790019386,0.1976578593727661,0.26360979991186945,0.10884097240411393,0.20792448121039384,0.16082607390806278
15208,0.11117877651910596,0.20942816447396517,0.10391906829693641,0.1851356983163142,0.24554480862018926,0.10386662199626766,0.19451700692909948,0.1515718644742974
15209,0.06971997353291004,0.1438391817225955,0.06452541359093084,0.12496247475177154,0.1719839081271633,0.06450361179986241,0.132234798997947,0.09936397110253721
15210,0.0,0.06723740481971656,0.0,0.0581914217248571,0.08078745952566152,0.0,0.061687463973200324,0.0
15211,0.0,0.0,0.0,0.0,0.05057739078840129,0.0,0.0,0.0
15212,0.07956023992519667,0.16672756385689216,0.07359199182240628,0.14409297453248754,0.20124757609113728,0.07358648624090827,0.15277978296580258,0.11392222568785783
15213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15215,0.05285250841323893,0.11486630779439568,0.0,0.09860502598910671,0.13973728745231478,0.0,0.104838426195995,0.07707077039054824
15216,0.08917351711286707,0.19191407890115966,0.0823974995440445,0.16457214475095447,0.2351937051560297,0.08235775024977283,0.17496323297089625,0.1289385420878081
15217,0.05497301449491114,0.11801325735823674,0.05071196487832484,0.10150519205484736,0.1434453128738987,0.05069618697395194,0.10781940030863892,0.0796592606618199
15218,0.05800022049811479,0.12600925607777605,0.05343827628395155,0.10826280422647903,0.15323151346876107,0.0534038043114024,0.11504131718017503,0.08466470511187821
15219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15222,0.0,0.0,0.0,0.0,0.053660564307733326,0.0,0.0,0.0
15223,0.07600082387018608,0.1656977288628584,0.07011011687580353,0.14195282356174735,0.20285075367020292,0.07004551957472552,0.1509678328084208,0.110764721583054
15224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15225,0.0,0.0988569743500797,0.0,0.08474108226186748,0.12053492264776179,0.0,0.09014222933136787,0.06610397876730213
15226,0.08108360885502343,0.1723137684577596,0.07500232990733618,0.14804490156559982,0.21083164631880402,0.07495834934748725,0.15726671824851995,0.11646475831015518
15227,0.17256641076771037,0.4518745131693724,0.15732237325991136,0.36842525019859573,0.5996584484214075,0.15703466094585547,0.3991230778541915,0.2699099499840091
15228,0.08233105016853531,0.1798574241403485,0.07601005125629548,0.1531969282232537,0.22306825074261938,0.07600745297671645,0.1633128803586854,0.11931977475249964
15229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15232,0.0,0.050175709997826265,0.0,0.0,0.06070988486895279,0.0,0.0,0.0
15233,0.0,0.08988039549334277,0.0,0.07714530388199058,0.10971163437904441,0.0,0.08201957411166125,0.06054726921575284
15234,0.0,0.06218031115694021,0.0,0.05351894898290836,0.07545037707149893,0.0,0.05685692623954737,0.0
15235,0.19086296477807793,0.36346864383115346,0.17894084202383628,0.3175747678352751,0.43900337095491354,0.17887974661639353,0.3349946651421116,0.2584373900689168
15236,0.24107453742542712,0.48316438720494354,0.22422444610274692,0.4202517603222527,0.5823960676048855,0.22406044026863403,0.44419118644761735,0.3370517029256917
15237,0.07512322032333178,0.15810008410149234,0.06952880738504064,0.13599594304071952,0.19288027829361304,0.06953981958947873,0.1444386761894533,0.10726666604781457
15238,0.0,0.0,0.0,0.0,0.05495325142589584,0.0,0.0,0.0
15239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15240,0.0,0.0,0.0,0.0,0.05392110908474079,0.0,0.0,0.0
15241,0.0,0.06221786411090015,0.0,0.05361001241802998,0.07527336439657804,0.0,0.056931080963555356,0.0
15242,0.0,0.0696070412599784,0.0,0.06004710768154968,0.08402820744532392,0.0,0.06372947570524216,0.0
15243,0.06839633628153217,0.1433398904922878,0.06322803518450065,0.12397469788682668,0.17265588559097814,0.0632304840196241,0.13142095006487498,0.09804747205592651
15244,0.0,0.10143419119674221,0.0,0.08752912815144041,0.12251127108454896,0.0,0.09289207348747984,0.06901491688921307
15245,0.11583696218449237,0.23312719918832367,0.1080368794594749,0.20156896467793584,0.28361889359583087,0.10802856167864609,0.21356419211692734,0.16089798384989434
15246,0.12050213827620776,0.2396558836715105,0.11245034667947905,0.20763336418850148,0.29129044330403076,0.11250567695967903,0.2198277926465566,0.16648686228834375
15247,0.33433395522379766,0.565393286126045,0.3166718862788115,0.5079646922298027,0.6518993217446518,0.31665052967515905,0.530127803685793,0.42943957281570194
15248,0.057082652452904815,0.1153965594855559,0.05302423021875125,0.1002182840070309,0.13853575411079214,0.053053687439739636,0.10606995361127136,0.08007114443871187
15249,0.07756409112920863,0.16623070333918885,0.07166312048012656,0.14260130641031593,0.2028225838955396,0.07170221560569955,0.15166657380739332,0.11176532149371336
15250,0.0,0.09737344723753645,0.0,0.08341853057925055,0.1190513342420644,0.0,0.08878282120895481,0.0652632190779712
