,area,prior_landfills,prior_wastewater,prior_ong,prior_livestock,prior_coal,prior_other_anth,prior_total,prior_gasdist,post_mean,post_min,post_max,post_hr_mean,post_hr_min,post_hr_max,diff_mean,diff_min,diff_max,dofs_mean,dofs_min,dofs_max,pop_2010,pop_2000,prior_postmeter,xhat_mean,xhat_min,xhat_max,post_mean_pc
"Fairfield, CA",1199.7071196279594,9.995252773819352,0.6590411279319689,0.9794833629503895,2.4612995595709277,0.0,0.3939493920687839,15.004785787617687,0.31654825700306893,22.742906616457883,20.708412838554697,24.287945138249516,17.678048043163887,16.06722326777205,19.035151370578593,7.9373321431133945,5.902838365210206,9.482370664905025,0.23990381992781457,0.1489110918598651,0.3776204096200077,133683,112446,0.1992113142731951,1.5157101832953779,1.3801205249890194,1.618679898668898,0.00017012564511910926
"St. Louis, MO--IL",8318.172820625612,18.31141467667473,5.5867646304088785,0.9135156593362435,6.811438277661036,0.14453885632456492,5.819940755774134,43.83420733977815,3.0416621520736533,28.408940481689424,21.248349036355886,37.27043602445926,17.525711643807572,11.30716777964447,25.599843858386365,-12.220334526563807,-19.380925971897344,-3.358838983793973,0.5115094158216938,0.3423651303184884,0.7326966844022371,2150706,2077662,3.204932331524924,0.6480997879459591,0.48474354450282675,0.8502591534405943,1.3209123181731684e-05
"McKinney, TX",908.2233861142743,5.5840963183840175,0.2609459176727757,0.2664200022698345,1.4287508857241293,0.0,0.41320984168332825,8.81894560996334,0.6121478713271549,21.363853746748877,16.090589928581487,31.66163142384764,17.360848747097258,12.875604312618066,26.24587664253093,12.798282909687636,7.525019091520246,23.0960605867864,0.41082806912367154,0.2519895978216869,0.6517491905263961,170030,54525,0.25337477290209953,2.422495238275734,1.824548040119773,3.5901833194296406,0.00012564755482414209
"Chattanooga, TN--GA",3958.8713296516153,13.840964694743516,0.7369044322370739,1.2109255099141822,4.2899549064331515,0.021453925760327484,0.5658007709262041,21.818126393307676,0.5841978666951775,21.964907394719553,12.586100894144655,30.61580170402237,16.62988666368084,7.9081089554669575,24.85313256125321,0.7147052880099201,-8.664101212564978,9.365599597312738,0.3210595275131141,0.2265022381246889,0.4540434055778486,381112,343509,0.5679242865980412,1.0067274796545729,0.5768644230608738,1.403227809396742,5.7633733376853924e-05
"Washington, DC--VA--MD",8644.528359904732,12.427228473959907,6.625067432722144,3.9839759514900908,5.977274449929764,0.0,6.352578180500974,49.57827530659121,7.377052264179215,29.022491962971344,14.742713928732659,39.044027067820224,16.147234707159825,4.982900632236095,24.217327796100424,-13.720684789810752,-28.00046282404944,-3.699149684961874,0.25666486880954265,0.15828767031586125,0.3879179063487934,4586770,3933920,6.835098553809109,0.5853872847229307,0.29736237974322355,0.7875228984141265,6.327435638362365e-06
"Lansing, MI",2846.5874392980004,10.995516602559299,0.3458454615790628,0.324872630657213,5.187784475566054,0.0,0.693552315625135,18.9583908065811,0.9436011867500678,22.412562672612403,12.458549361353288,28.02420755762642,15.825466961758341,8.288017202204749,20.323346099779624,3.921389999875575,-6.032623311383542,9.533034884889588,0.3089400074873797,0.15005259365985926,0.5751262015035222,313532,300032,0.46721813384426897,1.1821975241080187,0.6571522598335985,1.4781954778513304,7.148413135696644e-05
"Mauldin--Simpsonville, SC",617.6335822603976,4.199961461970268,0.9602274512762118,0.28343086862362976,0.3018685910781054,0.0,0.10163371920613613,6.14466508299326,0.11786193460050105,17.211807811654808,11.579814220922287,28.479319360672488,15.434889179433325,10.383994835202056,25.539784206640984,11.246823784899952,5.614830194167435,22.514335333917636,0.27273411394839925,0.1735528032199691,0.42687257281517743,120577,77831,0.17968105623840763,2.8010977944578865,1.8845313885327977,4.634804171751426,0.00014274536446963191
"Greensboro, NC",2257.3819862291753,12.749190320970442,0.37583844879616857,2.9052575186016187,2.0128933016013515,0.0,0.6210411351425398,19.43484711185426,0.3059743374649303,19.3071214367297,15.216044779008296,23.286903495948486,15.236512034545392,11.726125043969148,17.99976027939213,0.33692637415265025,-3.7541502835687552,4.316708433371435,0.4262866629340994,0.3159820954096563,0.5641839386052914,311810,267884,0.4646520492772078,0.9934280072084204,0.782925880066599,1.1982035856482076,6.191950686870113e-05
"Appleton, WI",2081.3048756606777,8.970083162161556,0.3246933725961595,0.018676577051617356,10.864735321639952,0.0,0.8028011086295513,21.65424673409144,0.351149501241093,32.891186912468186,25.1614956039056,43.908278701297895,15.003041844962889,11.906617224279056,19.24279034715886,11.559047869148255,3.8293565605856728,22.57613965797797,0.23668611924516378,0.12036661802211185,0.4339294850454776,216154,187683,0.32210769077151336,1.5189254706646445,1.161965868075776,2.0276982727905626,0.0001521655251000129
"York, PA",2282.674594024129,5.241580568868067,1.1056536145812612,0.08389167543755165,5.138460265591068,0.0,0.9511047085250365,13.809847761201397,0.9433688368141395,24.972178382123182,20.316502481118423,31.268251131695855,14.56360418769468,11.893336194190592,17.91501995942473,11.50811871230606,6.852442811301298,17.80419146187873,0.20430124976615127,0.10192814432543053,0.36857486596805655,232045,192903,0.34578809138427147,1.8082877388614107,1.4711604959322866,2.2641995532741235,0.00010761782577570378
"Concord, NC",2671.9891725969323,6.949761210507299,0.19479984290998353,1.678215177974199,3.639624591048529,0.0,0.49046618432214306,13.525283801169055,0.25220609878862266,20.947986129185765,18.23330078685174,24.57021664943734,14.113281690041642,11.937356233131283,17.046027409106728,7.742913023634991,5.028227681300963,11.365143543886566,0.29950982454001024,0.20993715682886802,0.4237460735054832,214881,115057,0.32021069561827936,1.548801965055634,1.348090070041691,1.816613759137063,9.748645124131852e-05
"Kingsport, TN--VA",3006.411316799632,17.157846748012517,0.5405542311365511,1.3815875932057955,4.310390956144563,4.117697614889736,1.3242858346183997,29.197804797175685,0.20663218014589302,22.2029456207028,18.628375385197796,27.644466831628083,12.510730706369124,10.41195325501118,16.234917612460386,-6.8360495374506565,-10.410619772955659,-1.3945283265253714,0.49936140915454413,0.34095947831494544,0.7167765797650988,106571,95766,0.15880963902222928,0.7604320179183641,0.6380060252680272,0.9467994948134643,0.00020833946965593641
"Modesto, CA",2375.9741308095263,3.1408949250940217,0.60944885707303,0.05459845768360758,46.09510955827812,0.0,1.3093690676848886,52.36502717326158,0.6218666782066562,103.45568613602916,88.80662295992299,127.38451014628427,12.421197801981904,9.58101069173971,17.165336908519546,51.62439859200882,36.97533541590266,75.55322260226394,0.363889778509258,0.22492444662112449,0.5794507439628903,358172,310945,0.5337396292412562,1.9756637534765813,1.6959147689561225,2.4326256859335467,0.00028884358949339745
